gene_id,SRR28995929,SRR28995930,SRR28995931,SRR28995932,SRR28995933,SRR28995934,SRR28995935,SRR28995936
ENSG00000000003,1148,1192,1222,1375,1377,1054,1178,1457
ENSG00000000005,0,0,0,0,0,0,0,0
ENSG00000000419,963,960,932,800,769,939,676,771
ENSG00000000457,211,250,219,276,225,215,211,219
ENSG00000000460,178,176,191,167,160,205,132,160
ENSG00000000938,0,0,0,0,0,0,0,0
ENSG00000000971,3724,3365,3397,7799,7974,2398,6599,8514
ENSG00000001036,1950,1945,2102,1790,1666,1865,1472,1749
ENSG00000001084,3874,4295,4217,4010,3777,4110,3042,3670
ENSG00000001167,818,791,792,693,818,664,609,799
ENSG00000001460,204,240,225,206,180,192,176,193
ENSG00000001461,800,818,782,749,743,719,580,684
ENSG00000001497,1649,1928,1870,1683,1472,1890,1253,1549
ENSG00000001561,26,31,34,19,16,31,13,22
ENSG00000001617,126,134,143,140,135,111,104,146
ENSG00000001626,37,27,38,33,42,26,17,32
ENSG00000001629,1954,1995,1897,2063,2004,1695,1620,1923
ENSG00000001630,1797,1914,1972,2213,1979,1680,1780,2032
ENSG00000001631,513,600,543,534,559,538,444,512
ENSG00000002016,250,292,289,274,240,271,223,265
ENSG00000002330,950,911,976,820,691,886,599,768
ENSG00000002549,769,831,875,753,724,863,601,727
ENSG00000002586,5136,5676,6041,4691,4497,5440,3771,4419
ENSG00000002587,197,227,244,175,168,211,179,199
ENSG00000002726,1,1,0,0,2,0,1,3
ENSG00000002745,0,2,1,0,0,1,1,0
ENSG00000002746,385,374,355,439,446,289,360,363
ENSG00000002822,325,347,372,413,453,370,333,402
ENSG00000002834,10662,11271,11804,13158,12506,11024,10859,13355
ENSG00000002919,417,500,483,484,433,467,387,490
ENSG00000002933,2,1,0,14,15,0,7,14
ENSG00000003056,3716,3551,3881,2808,2799,3591,2387,2801
ENSG00000003096,20,26,20,38,38,25,41,31
ENSG00000003137,720,735,730,1012,1019,656,905,1068
ENSG00000003147,54,56,60,68,73,64,42,68
ENSG00000003249,1062,1156,1233,886,818,1100,785,876
ENSG00000003393,823,850,867,888,889,787,825,946
ENSG00000003400,161,184,156,172,128,123,131,149
ENSG00000003402,1706,1928,1802,1941,1978,1775,1590,1924
ENSG00000003436,5244,5262,5352,5850,5584,4190,4527,5697
ENSG00000003509,389,381,391,447,445,427,344,439
ENSG00000003756,960,950,943,1028,857,896,755,994
ENSG00000003987,45,40,40,43,34,58,36,39
ENSG00000003989,172,149,173,977,878,150,772,794
ENSG00000004059,1895,1919,2141,1864,1923,1990,1578,1980
ENSG00000004139,215,244,266,414,380,244,360,427
ENSG00000004142,3693,3706,4026,4024,4026,3670,3373,4016
ENSG00000004399,2988,3005,2922,3025,2977,2577,2618,2961
ENSG00000004455,2481,2406,2634,2339,2150,2422,2050,2251
ENSG00000004468,486,645,576,662,639,527,542,631
ENSG00000004478,4654,4807,5405,4280,4068,4882,3461,3946
ENSG00000004487,1903,2113,2047,1900,1732,2030,1484,1805
ENSG00000004534,831,901,927,887,799,859,705,867
ENSG00000004660,569,617,627,433,464,658,382,473
ENSG00000004700,1145,1168,1135,1392,1337,1137,1118,1274
ENSG00000004766,376,338,390,338,353,333,269,298
ENSG00000004776,20,11,10,8,16,8,16,19
ENSG00000004777,85,157,152,201,141,135,123,190
ENSG00000004779,993,948,1108,863,793,1066,709,850
ENSG00000004799,3229,3273,3214,5032,5076,3093,4230,4613
ENSG00000004809,0,0,0,0,0,0,0,0
ENSG00000004838,5,7,4,3,5,4,3,7
ENSG00000004846,4,2,3,4,15,3,10,10
ENSG00000004848,61,71,82,100,75,59,87,79
ENSG00000004864,1140,1239,1355,1032,1038,1229,894,1020
ENSG00000004866,376,407,362,368,342,303,305,366
ENSG00000004897,2233,2458,2393,2285,2202,2310,1834,2194
ENSG00000004939,0,0,3,4,0,0,0,0
ENSG00000004948,14,11,13,14,3,11,9,4
ENSG00000004961,818,825,764,703,686,809,610,653
ENSG00000004975,1338,1323,1385,1235,1199,1349,995,1197
ENSG00000005001,2,1,6,0,0,2,0,1
ENSG00000005007,1142,1318,1357,1355,1341,1296,1028,1176
ENSG00000005020,1079,1152,1103,1403,1370,1038,1145,1399
ENSG00000005022,11374,12523,13031,12499,12002,12724,10063,12146
ENSG00000005059,451,398,449,329,323,392,257,349
ENSG00000005073,15,17,24,19,16,17,12,30
ENSG00000005075,825,858,968,829,816,853,733,775
ENSG00000005100,1192,1289,1174,1300,1241,1214,1051,1238
ENSG00000005102,0,0,0,0,0,0,0,0
ENSG00000005108,1982,1930,1810,1882,1827,1529,1374,1625
ENSG00000005156,969,1078,1000,1047,959,1025,862,1002
ENSG00000005175,1034,1117,1130,927,801,1012,720,877
ENSG00000005187,1475,1322,1489,789,847,1274,653,854
ENSG00000005189,87,79,88,100,85,94,59,88
ENSG00000005194,1068,1034,1094,1192,1114,1060,918,1089
ENSG00000005206,586,701,610,821,812,623,701,946
ENSG00000005238,514,541,573,556,605,486,513,626
ENSG00000005243,151,135,128,154,134,106,105,160
ENSG00000005249,100,120,98,85,107,74,53,98
ENSG00000005302,417,427,451,477,495,486,370,480
ENSG00000005339,1313,1481,1334,2029,2017,1215,1752,1894
ENSG00000005379,0,0,0,0,0,0,0,0
ENSG00000005381,0,0,0,0,0,0,0,0
ENSG00000005421,28,21,26,28,33,19,23,32
ENSG00000005436,551,600,610,663,624,550,535,626
ENSG00000005448,1446,1587,1649,1480,1325,1582,1165,1452
ENSG00000005469,331,331,326,317,310,283,282,287
ENSG00000005471,25,33,13,31,36,16,23,43
ENSG00000005483,1217,1354,1199,1493,1428,1167,1190,1386
ENSG00000005486,1587,1765,1793,1950,1839,1615,1575,1804
ENSG00000005513,34,14,35,32,21,23,13,14
ENSG00000005700,2737,2856,2785,2712,2660,2444,2127,2491
ENSG00000005801,329,422,376,345,332,401,270,347
ENSG00000005810,883,922,659,1123,1062,719,918,947
ENSG00000005812,551,528,513,664,748,451,584,642
ENSG00000005844,54,61,65,60,81,69,56,64
ENSG00000005882,560,654,657,909,876,620,704,858
ENSG00000005884,10358,10603,10006,12263,11700,9222,10481,12018
ENSG00000005889,651,690,672,931,866,651,697,812
ENSG00000005893,2766,2908,2943,2928,2604,2698,2206,2661
ENSG00000005961,82,91,90,61,35,83,41,48
ENSG00000005981,204,172,173,71,71,150,81,66
ENSG00000006007,2435,2469,2526,2224,2269,2461,1809,2280
ENSG00000006015,592,615,675,594,613,592,502,631
ENSG00000006016,14,16,14,15,4,23,14,23
ENSG00000006025,511,548,552,535,501,531,431,603
ENSG00000006042,520,496,533,1006,949,468,870,929
ENSG00000006047,49,62,46,169,144,57,141,172
ENSG00000006059,0,0,0,0,0,0,0,0
ENSG00000006062,615,712,677,514,478,690,373,438
