stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000000412	9606.ENSP00000254976	M6PR	SNAP25	9606	0.154	0	0	0	0.086	0	0	0.113
9606.ENSP00000000412	9606.ENSP00000286788	M6PR	CCT8	9606	0.155	0	0	0	0.155	0	0	0
9606.ENSP00000000412	9606.ENSP00000369383	M6PR	MPV17	9606	0.158	0	0	0	0.159	0	0	0
9606.ENSP00000000412	9606.ENSP00000253413	M6PR	ATP6V1E1	9606	0.161	0	0	0	0.161	0	0	0
9606.ENSP00000000412	9606.ENSP00000355265	M6PR	MT-ATP8	9606	0.163	0	0	0	0.163	0	0	0
9606.ENSP00000000412	9606.ENSP00000398722	M6PR	CHID1	9606	0.168	0	0	0	0.06	0	0	0.152
9606.ENSP00000000412	9606.ENSP00000317714	M6PR	STX4	9606	0.17	0	0	0	0.049	0	0	0.163
9606.ENSP00000000412	9606.ENSP00000157812	M6PR	PSMC4	9606	0.178	0	0	0	0.178	0	0	0
9606.ENSP00000000412	9606.ENSP00000374455	M6PR	SQSTM1	9606	0.183	0	0	0	0.055	0	0	0.171
9606.ENSP00000000412	9606.ENSP00000354511	M6PR	COMT	9606	0.185	0	0	0	0.117	0.115	0	0
9606.ENSP00000000412	9606.ENSP00000269299	M6PR	ASGR1	9606	0.192	0	0	0	0	0	0	0.192
9606.ENSP00000000412	9606.ENSP00000451206	M6PR	NPC2	9606	0.196	0	0	0	0.075	0	0	0.167
9606.ENSP00000000412	9606.ENSP00000361926	M6PR	CNPY3	9606	0.225	0	0	0	0.074	0	0	0.198
9606.ENSP00000000412	9606.ENSP00000308430	M6PR	CYB5B	9606	0.242	0	0	0	0.134	0.161	0	0
9606.ENSP00000000412	9606.ENSP00000367265	M6PR	CKAP4	9606	0.244	0	0	0	0	0	0	0.244
9606.ENSP00000000412	9606.ENSP00000349687	M6PR	GM2A	9606	0.257	0	0	0	0.083	0	0	0.224
9606.ENSP00000000412	9606.ENSP00000357981	M6PR	CTSS	9606	0.326	0	0	0	0.077	0	0	0.3
9606.ENSP00000000412	9606.ENSP00000480853	M6PR	VPS29	9606	0.342	0	0	0	0.074	0	0	0.319
9606.ENSP00000000412	9606.ENSP00000385834	M6PR	TF	9606	0.4	0	0	0	0	0	0.4	0
9606.ENSP00000000412	9606.ENSP00000378394	M6PR	PSAP	9606	0.437	0	0	0	0.117	0	0	0.388
9606.ENSP00000000412	9606.ENSP00000222219	M6PR	DNASE2	9606	0.511	0	0	0	0.064	0	0.5	0
9606.ENSP00000000412	9606.ENSP00000336666	M6PR	AP1S1	9606	0.597	0	0	0	0.064	0	0.5	0.208
9606.ENSP00000004531	9606.ENSP00000262027	SLC7A2	MARS1	9606	0.152	0.042	0	0	0.051	0.07	0	0.116
9606.ENSP00000004531	9606.ENSP00000346080	SLC7A2	RPL22L1	9606	0.153	0	0	0	0.074	0	0	0.123
9606.ENSP00000004531	9606.ENSP00000357981	SLC7A2	CTSS	9606	0.155	0	0	0	0.053	0.068	0	0.119
9606.ENSP00000004531	9606.ENSP00000356771	SLC7A2	F5	9606	0.155	0.046	0	0	0.093	0	0	0.101
9606.ENSP00000004531	9606.ENSP00000390394	SLC7A2	SLC4A7	9606	0.156	0	0	0	0.056	0	0	0.143
9606.ENSP00000004531	9606.ENSP00000264775	SLC7A2	PLPP1	9606	0.157	0	0	0	0.103	0	0	0.099
9606.ENSP00000004531	9606.ENSP00000368572	SLC7A2	SAT1	9606	0.157	0	0	0	0	0	0	0.157
9606.ENSP00000004531	9606.ENSP00000351957	SLC7A2	PDE3A	9606	0.158	0	0	0	0.067	0.049	0	0.128
9606.ENSP00000004531	9606.ENSP00000269216	SLC7A2	GATA6	9606	0.16	0	0	0	0.072	0.045	0	0.128
9606.ENSP00000004531	9606.ENSP00000297991	SLC7A2	AQP3	9606	0.16	0	0.006	0	0.046	0.078	0	0.12
9606.ENSP00000004531	9606.ENSP00000365773	SLC7A2	PSAT1	9606	0.166	0	0	0	0.054	0.073	0	0.125
9606.ENSP00000004531	9606.ENSP00000291527	SLC7A2	TFF1	9606	0.167	0	0	0	0.074	0	0	0.138
9606.ENSP00000004531	9606.ENSP00000332256	SLC7A2	ALDH1A3	9606	0.167	0	0	0	0.087	0.045	0	0.122
9606.ENSP00000004531	9606.ENSP00000354982	SLC7A2	MT-CO3	9606	0.17	0	0	0	0	0	0.126	0.09
9606.ENSP00000004531	9606.ENSP00000354394	SLC7A2	STAT1	9606	0.171	0	0	0	0.046	0	0	0.166
9606.ENSP00000004531	9606.ENSP00000267814	SLC7A2	SORD	9606	0.172	0	0	0	0.067	0	0	0.149
9606.ENSP00000004531	9606.ENSP00000416515	SLC7A2	FDXR	9606	0.174	0	0	0	0	0	0.114	0.106
9606.ENSP00000004531	9606.ENSP00000270560	SLC7A2	TM4SF5	9606	0.177	0	0	0	0.054	0	0	0.166
9606.ENSP00000004531	9606.ENSP00000327513	SLC7A2	CSF1	9606	0.19	0	0	0	0.067	0	0	0.168
9606.ENSP00000004531	9606.ENSP00000402608	SLC7A2	CPS1	9606	0.192	0	0	0	0.08	0.071	0	0.131
9606.ENSP00000004531	9606.ENSP00000265087	SLC7A2	STC2	9606	0.192	0	0	0	0.094	0	0	0.145
9606.ENSP00000004531	9606.ENSP00000289416	SLC7A2	ACSM3	9606	0.193	0	0	0	0.058	0	0	0.179
9606.ENSP00000004531	9606.ENSP00000384849	SLC7A2	CDKN1A	9606	0.195	0	0	0	0.085	0	0	0.156
9606.ENSP00000004531	9606.ENSP00000360718	SLC7A2	RAB3B	9606	0.203	0	0	0	0.071	0.089	0	0.134
9606.ENSP00000004531	9606.ENSP00000355652	SLC7A2	RHOU	9606	0.211	0	0	0	0	0.201	0	0.053
9606.ENSP00000004531	9606.ENSP00000245479	SLC7A2	SOX9	9606	0.215	0	0	0	0.076	0.045	0	0.181
9606.ENSP00000004531	9606.ENSP00000446252	SLC7A2	SOD2	9606	0.218	0	0	0	0	0	0.175	0.092
